﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2021/22 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10032282","The Queen's Foundation for Ecumenical Theological Education","2021-08-31","20200901","20210831","48","1.2","1.7"
"10007823","Edge Hill University","2022-07-31","19930108","","328","7.9","9.9"
"10007772","Edinburgh Napier University","2022-07-31","20130701","","263","5.7","5.8"
"10007790","The University of Edinburgh","2022-07-31","20180205","","406","8.8","9.9"
"10022047","Empire College London Limited","2022-03-31","20090901","","139","1.0","5.7"
"10007791","The University of Essex","2022-07-31","20120801","","402","9.3","10.9"
"10008173","University College of Estate Management","2022-07-31","20131101","","293","5.2","7.2"
"10002313","ESCP Europe Business School","2021-12-31","20210608","","74","2.6","3.3"
"10007792","The University of Exeter","2022-07-31","20200901","","382","9.4","10.6"
"10008640","Falmouth University","2022-07-31","20220101","","134","5.2","6.0"
"10045476","Met Film School Limited","2021-09-30","20190101","","215","2.9","4.7"
"10004511","The National Film and Television School","2022-07-31","20170801","","174","4.3","4.3"
"10022087","Futureworks","2021-08-31","20070101","","84","2.3","2.5"
"10042500","Global Banking School Limited","2022-02-28","20210301","","249","6.5","6.5"
"10007762","Glasgow Caledonian University","2022-07-31","20060201","","277","","6.2"
"10002681","Glasgow School of Art","2022-07-31","20200525","","191","5.4","5.4"
"10007794","The University of Glasgow","2022-07-31","20091001","","383","7.9","8.0"
"10007145","University of Gloucestershire","2022-07-31","20110801","","190","4.4","4.0"
"10007833","Glyndŵr University","2022-07-31","20160401","","256","5.7","5.6"
"10002718","Goldsmiths College","2022-07-31","20190801","","246","6.3","6.2"
"10007146","The University of Greenwich","2022-07-31","20191201","","309","6.4","6.9"
"10007825","Guildhall School of Music and Drama","2022-03-31","20210901","","133","4.1","3.6"
"10040812","Harper Adams University","2022-07-31","20211101","","195","6.5","5.7"
"10080811","Hartpury University","2022-07-31","20120901","","255","8.5","9.7"
"10007147","University of Hertfordshire","2022-07-31","20110101","","360","8.5","9.5"
"10007148","The University of Huddersfield","2022-07-31","20070101","","408","9.7","10.0"
"10007149","The University of Hull","2022-07-31","20170821","","305","6.9","7.3"
"10003239","ICON College of Technology and Management","2021-09-30","20031001","","94","2.4","2.4"
"10003270","Imperial College of Science, Technology and Medicine","2022-07-31","20140109","20220731","714","8.6","14.7"
"10013220","Institute of Art - London Limited","2021-08-31","20191014","","130","3.0","2.9"
"10067388","The Institute of Ismaili Studies","2021-12-31","19880905","","140","2.8","2.8"
"10035638","Institute of Contemporary Music Performance","2022-05-31","20100601","","228","3.0","4.9"
"10082728","INTO University Partnerships Limited","2022-07-31","20201023","","239","7.0","7.0"
"10029682","The Islamic College","2021-08-31","20151005","","23","1.0","1.0"
"10067601","JSA Education Group Ltd.","2022-07-31","20200820","","60","1.6","1.6"
"10082570","Kaplan International Colleges U.K. Limited","2021-12-25","20070402","","415","6.1","9.2"
"10021682","Kaplan Open Learning (Essex) Limited","2021-12-31","20160101","20221231","174","5.4","8.3"
"10007150","The University of Kent","2022-07-31","20170801","","290","8.5","9.0"
"10003645","King's College London","2022-07-31","20210601","","399","8.1","8.9"
"10003678","Kingston University","2022-07-31","20160926","","371","7.1","7.1"
"10007768","The University of Lancaster","2022-07-31","20200501","","285","6.7","6.6"
"10003854","Leeds Arts University","2022-07-31","20090601","","221","7.4","7.4"
"10003861","Leeds Beckett University","2022-07-31","20150901","","294","6.7","7.4"
"10003798","Le Cordon Bleu Limited","2021-12-31","20160523","","100","3.4","3.4"
"10007795","The University of Leeds","2022-07-31","20200901","","330","11.3","10.0"
"10003863","Leeds Trinity University","2022-07-31","20201101","","235","5.6","5.8"
"10082828","College of Legal Practice Limited","2022-06-30","20200201","","162","2.6","2.7"
"10007796","The University of Leicester","2022-07-31","20191104","","305","6.9","7.1"
"10007151","The University of Lincoln","2022-07-31","20211001","","229","6.5","7.4"
"10003956","Liverpool Hope University","2022-07-31","20030801","","383","8.4","8.8"
"10003957","Liverpool John Moores University","2022-07-31","20210817","20220731","262","6.6","6.3"
"10003945","The Liverpool Institute for Performing Arts","2022-07-31","20210901","","177","4.1","5.3"
"10006842","The University of Liverpool","2022-07-31","20150201","","365","8.3","8.7"
"10003958","Liverpool School of Tropical Medicine","2022-07-31","20190101","","260","6.9","5.7"
"10007162","University of the Arts, London","2022-07-31","20210301","","340","7.0","6.8"
"10013109","London Bridge Business Academy","2021-12-31","20031029","","35","1.0","1.0"
"10007769","London Business School","2022-07-31","20170801","","533","9.9","8.3"
"10007797","University of London (Institutes and activities)","2022-07-31","20190701","","342","7.2","7.9"
"10039082","City and Guilds of London Art School","2021-08-31","20140915","","75","2.4","2.5"
"10023434","London School of Commerce & IT Limited","2022-03-31","20080401","","32","1.0","1.0"
"10004036","London Film School Limited","2021-08-31","20190901","20210831","97","2.8","2.8"
"10015506","The London College","2022-07-31","20170901","","313","7.6","7.6"
"10004048","London Metropolitan University","2022-07-31","20181006","","313","6.8","7.3"
"10032594","London School of Academics Ltd","2022-03-31","20100309","","188","0.3","5.4"
"10004078","London South Bank University","2022-07-31","20140101","","305","6.0","6.4"
"10004063","London School of Economics and Political Science","2022-07-31","20170501","","539","10.7","12.1"
"10007771","London School of Hygiene and Tropical Medicine","2022-07-31","20210801","","355","4.7","8.5"
"10022285","London School of Management Education","2021-08-31","20070912","","249","2.7","8.9"
"10004075","London School of Theology","2021-08-31","20200101","","79","2.5","2.5"
"10004079","London Studio Centre","2021-08-31","19881229","","184","4.3","4.4"
"10062810","The London School of Architecture","2022-06-30","20210503","","66","1.4","1.4"
"10008289","The London Institute of Banking & Finance","2022-07-31","20150216","","219","5.9","6.3"
"10004035","The Film Education Training Trust Limited","2022-01-31","20010903","","263","2.6","3.2"
"10067623","The London Interdisciplinary School Ltd","2022-07-31","20190101","","86","1.7","1.7"
"10004113","Loughborough University","2022-07-31","20211004","","306","11.7","11.7"
"10009612","Luther King House Educational Trust","2021-08-31","20110701","","49","1.9","1.9"
"10004180","The Manchester Metropolitan University","2022-07-31","20150601","","355","7.7","8.3"
"10007798","The University of Manchester","2022-07-31","20100701","","276","9.3","9.7"
"10009527","Istituto Marangoni Limited","2022-06-30","20220601","","18","2.9","2.7"
"10023452","The Markfield Institute of Higher Education","2021-12-31","20121001","","47","1.7","1.8"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","2021-08-31","20150530","","75","0.0","0.0"
"10020416","Missio Dei","2022-06-30","20200901","","29","1.2","1.2"
"10030776","St Mellitus College","2022-07-31","20200901","","56","1.2","1.2"
"10004320","The Metanoia Institute","2021-08-31","20010108","","131","2.2","2.2"
"10004351","Middlesex University","2022-07-31","20200203","","279","5.9","5.4"
"10032277","The Minster Centre","2022-06-30","20140514","","73","2.2","2.2"
"10004450","Mountview Academy of Theatre Arts","2021-08-31","20140401","","107","2.9","3.7"
"10023777","Mont Rose College of Management and Sciences","2021-08-31","20101005","","158","4.2","4.2"
"10023454","Moorlands College","2022-06-30","20220212","","18","1.2","1.3"
"10000216","All Nations Christian College","2021-08-31","20160301","","68","1.7","2.2"
"10053304","Navitas UK Holdings Limited","2022-06-30","20150720","","410","8.8","12.0"
"10004538","Nazarene Theological College","2022-06-30","20120501","","42","1.8","1.3"
"10030129","Nelson College London Ltd","2022-07-31","20140815","","47","1.7","1.7"
"10023456","Newbold College","2021-12-31","20140616","","60","1.4","1.4"
"10007799","Newcastle University","2022-07-31","20170101","","388","9.3","9.4"
"10048199","New College of the Humanities","2022-06-30","20210406","","169","5.1","4.1"
"10007832","Newman University","2022-07-31","20200301","","221","5.1","5.3"
"10008397","Norland College","2022-07-31","20160718","","131","3.4","3.7"
