﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10007772","Edinburgh Napier University","2021-07-31","","","251","5.4","5.5"
"10007790","The University of Edinburgh","2021-07-31","","","363","8.3","9.5"
"10022047","Empire College London Limited","2021-03-31","","","109","1.0","6.1"
"10007791","The University of Essex","2021-07-31","","","392","9.6","11.1"
"10008173","University College of Estate Management","2021-07-31","","","297","5.1","7.2"
"10002313","ESCP Europe Business School","2020-12-31","","","0","0.0","0.0"
"10002344","European School of Osteopathy","2020-08-31","20181001","","80","1.8","1.8"
"10007792","The University of Exeter","2021-07-31","","","347","9.4","10.2"
"10008640","Falmouth University","2021-07-31","","","0","0.0","0.0"
"10045476","Met Film School Limited","2020-09-30","","","127","3.4","3.3"
"10004511","The National Film and Television School","2021-07-31","","","174","4.4","4.4"
"10022087","Futureworks","2020-08-31","","","81","2.4","2.8"
"10042500","Global Banking School Limited","2021-02-28","","","0","0.0","0.0"
"10007762","Glasgow Caledonian University","2021-07-31","","","271","","5.9"
"10002681","Glasgow School of Art","2021-07-31","","","204","5.8","5.8"
"10007794","The University of Glasgow","2021-07-31","","","368","8.4","8.3"
"10007145","University of Gloucestershire","2021-07-31","","","190","4.5","4.7"
"10007833","Glyndŵr University","2021-07-31","","","252","5.9","6.9"
"10002718","Goldsmiths College","2021-07-31","","","245","6.1","6.0"
"10007146","The University of Greenwich","2021-07-31","","","299","6.6","7.0"
"10007825","Guildhall School of Music and Drama","2021-03-31","","","0","0.0","0.0"
"10040812","Harper Adams University","2021-07-31","","","0","0.0","0.0"
"10080811","Hartpury University","2021-07-31","","","248","7.1","8.4"
"10007764","Heriot-Watt University","2021-07-31","20150901","","312","7.1","9.1"
"10007147","University of Hertfordshire","2021-07-31","","","354","8.5","9.7"
"10007148","The University of Huddersfield","2021-07-31","","","398","9.6","10.0"
"10007149","The University of Hull","2021-07-31","","","277","6.1","6.2"
"10003239","ICON College of Technology and Management","2020-09-30","","","79","2.4","2.4"
"10003270","Imperial College of Science, Technology and Medicine","2021-07-31","","","559","8.1","11.6"
"10013220","Institute of Art - London Limited","2020-08-31","","","115","2.7","3.1"
"10067388","The Institute of Ismaili Studies","2020-12-31","","","136","2.7","2.7"
"10035638","Institute of Contemporary Music Performance","2021-05-31","","","156","2.9","3.4"
"10082728","INTO University Partnerships Limited","2021-07-31","","","184","7.0","7.0"
"10029682","The Islamic College","2020-08-31","","","23","1.1","1.1"
"10067601","JSA Education Group Ltd.","2021-07-31","","","52","1.4","1.4"
"10082570","Kaplan International Colleges U.K. Limited","2020-12-26","","","270","5.7","8.8"
"10021682","Kaplan Open Learning (Essex) Limited","2020-12-31","","","138","3.9","5.7"
"10007767","Keele University","2021-07-31","20150810","","288","7.0","7.4"
"10007150","The University of Kent","2021-07-31","","","245","8.5","8.3"
"10003645","King's College London","2021-07-31","","","89","7.8","8.8"
"10008325","KLC School of Design","2020-08-31","19820701","","5","2.0","2.0"
"10003678","Kingston University","2021-07-31","","","352","7.2","7.2"
"10003758","LAMDA Limited","2021-07-31","20191106","","111","3.0","3.0"
"10007768","The University of Lancaster","2021-07-31","","","272","6.1","6.5"
"10003854","Leeds Arts University","2021-07-31","","","216","6.6","6.4"
"10003861","Leeds Beckett University","2021-07-31","","","291","6.7","7.4"
"10003798","Le Cordon Bleu Limited","2020-12-31","","","100","3.5","3.6"
"10034449","Leeds Conservatoire","2021-07-31","20200901","","103","2.4","2.4"
"10007795","The University of Leeds","2021-07-31","","","302","11.7","10.3"
