"UKPRN","HE.provider","date","Open.ended.Permanent","Fixed.term","Total.academic.staff","Total","Total.European.Union","Total_nonuk","ratio_permanent","ratio_casual","prop_permanent","prop_casual","staffstudent_ratio","prop_non_uk","prop_eu","latest_prop_casual_2022"
10006427,"University for the Creative Arts","2014-2015",350,10,360,4805,335,670,35,0.0285714285714286,97.2222222222222,2.77777777777778,13.7285714285714,14,7,11.3636363636364
10007842,"University of Cumbria","2014-2015",380,40,420,9065,165,290,9.5,0.105263157894737,90.4761904761905,9.52380952380952,23.8552631578947,3,2,26.9230769230769
10001883,"De Montfort University","2014-2015",920,295,1215,19650,660,2810,3.11864406779661,0.320652173913043,75.7201646090535,24.2798353909465,21.3586956521739,14,3,11.9266055045872
10007851,"University of Derby","2014-2015",1205,50,1250,15935,625,1305,24.1,0.04149377593361,96.4,4,13.2240663900415,8,4,6.38297872340426
10007852,"The University of Dundee","2014-2015",1070,465,1535,15180,1155,2515,2.3010752688172,0.434579439252336,69.7068403908795,30.2931596091205,14.1869158878505,17,8,21.4532871972318
10007143,"University of Durham","2014-2015",1185,505,1690,17595,960,4640,2.34653465346535,0.426160337552743,70.1183431952663,29.8816568047337,14.8481012658228,26,5,37.6623376623377
10007789,"The University of East Anglia","2014-2015",960,745,1700,16165,720,4065,1.28859060402685,0.776041666666667,56.4705882352941,43.8235294117647,16.8385416666667,25,4,38.3838383838384
10007144,"The University of East London","2014-2015",620,285,910,15855,565,1785,2.17543859649123,0.459677419354839,68.1318681318681,31.3186813186813,25.5725806451613,11,4,34.4086021505376
10007823,"Edge Hill University","2014-2015",525,475,1000,16170,120,255,1.10526315789474,0.904761904761905,52.5,47.5,30.8,2,1,35.4497354497354
10007772,"Edinburgh Napier University","2014-2015",760,90,850,13125,1610,2770,8.44444444444444,0.118421052631579,89.4117647058824,10.5882352941176,17.2697368421053,21,12,25.2808988764045
10007790,"The University of Edinburgh","2014-2015",2620,1660,4280,28880,3335,10075,1.57831325301205,0.633587786259542,61.214953271028,38.785046728972,11.0229007633588,35,12,50.3559870550162
10007791,"The University of Essex","2014-2015",645,470,1115,14435,1755,4690,1.37234042553191,0.728682170542636,57.847533632287,42.152466367713,22.3798449612403,32,12,27.6666666666667
10007792,"The University of Exeter","2014-2015",1170,690,1860,20555,1265,5225,1.69565217391304,0.58974358974359,62.9032258064516,37.0967741935484,17.5683760683761,25,6,42.5383542538354
10008640,"Falmouth University","2014-2015",230,5,235,4280,100,305,46,0.0217391304347826,97.8723404255319,2.12765957446809,18.6086956521739,7,2,5.26315789473684
10007762,"Glasgow Caledonian University","2014-2015",675,95,770,16930,690,2255,7.10526315789474,0.140740740740741,87.6623376623377,12.3376623376623,25.0814814814815,13,4,14.5569620253165
10002681,"Glasgow School of Art","2014-2015",155,35,190,1840,230,500,4.42857142857143,0.225806451612903,81.5789473684211,18.4210526315789,11.8709677419355,27,12,11.1111111111111
10007794,"The University of Glasgow","2014-2015",2835,340,3175,26815,3200,7335,8.33823529411765,0.119929453262787,89.2913385826772,10.7086614173228,9.45855379188712,27,12,39.6764985727878
10007145,"University of Gloucestershire","2014-2015",385,265,650,7855,85,380,1.45283018867925,0.688311688311688,59.2307692307692,40.7692307692308,20.4025974025974,5,1,30.3703703703704
10007833,"Glyndŵr University ","2014-2015",190,125,320,NA,NA,NA,1.52,0.657894736842105,59.375,39.0625,NA,NA,NA,NA
10002718,"Goldsmiths College","2014-2015",465,545,1010,8165,785,2115,0.853211009174312,1.17204301075269,46.039603960396,53.960396039604,17.5591397849462,26,10,45.2991452991453
10007146,"The University of Greenwich","2014-2015",840,390,1230,21295,1150,4245,2.15384615384615,0.464285714285714,68.2926829268293,31.7073170731707,25.3511904761905,20,5,8.90052356020942
10007825,"Guildhall School of Music and Drama","2014-2015",440,135,575,905,160,295,3.25925925925926,0.306818181818182,76.5217391304348,23.4782608695652,2.05681818181818,33,18,15.8536585365854
10040812,"Harper Adams University","2014-2015",145,10,155,5045,80,215,14.5,0.0689655172413793,93.5483870967742,6.45161290322581,34.7931034482759,4,2,15.2173913043478
10007764,"Heriot-Watt University","2014-2015",570,225,795,10705,1020,3685,2.53333333333333,0.394736842105263,71.6981132075472,28.3018867924528,18.780701754386,34,10,28.3236994219653
10007147,"University of Hertfordshire","2014-2015",1355,135,1490,24880,825,4165,10.037037037037,0.0996309963099631,90.9395973154362,9.06040268456376,18.3616236162362,17,3,7.33496332518337
10007765,"Heythrop College","2014-2015",35,45,80,700,25,80,0.777777777777778,1.28571428571429,43.75,56.25,20,11,4,NA
10007148,"The University of Huddersfield","2014-2015",750,65,815,19620,890,3220,11.5384615384615,0.0866666666666667,92.0245398773006,7.97546012269939,26.16,16,5,11.2299465240642
10007149,"The University of Hull","2014-2015",875,190,1065,17010,810,3115,4.60526315789474,0.217142857142857,82.1596244131455,17.8403755868545,19.44,18,5,23.0769230769231
10003270,"Imperial College of Science, Technology and Medicine","2014-2015",1935,2410,4350,16610,2595,7965,0.802904564315353,1.24547803617571,44.4827586206897,55.4022988505747,8.58397932816538,48,16,51.5765765765766
10007766,"Institute of Education","2014-2015",365,100,465,5670,225,855,3.65,0.273972602739726,78.494623655914,21.505376344086,15.5342465753425,15,4,NA
10007767,"The University of Keele","2014-2015",595,255,855,NA,NA,NA,2.33333333333333,0.428571428571429,69.5906432748538,29.8245614035088,NA,NA,NA,NA
10007150,"The University of Kent","2014-2015",950,1025,1970,18985,1760,4685,0.926829268292683,1.07894736842105,48.2233502538071,52.0304568527919,19.9842105263158,25,9,36.2369337979094
10003645,"King's College London","2014-2015",1865,2645,4510,28720,3305,8365,0.705103969754253,1.41823056300268,41.3525498891353,58.6474501108647,15.3994638069705,29,12,56.7804024496938
10003678,"Kingston University","2014-2015",800,195,995,21915,1290,4055,4.1025641025641,0.24375,80.4020100502513,19.5979899497487,27.39375,19,6,6.282722513089
10007768,"The University of Lancaster","2014-2015",860,880,1735,12965,1255,4355,0.977272727272727,1.02325581395349,49.5677233429395,50.7204610951009,15.0755813953488,34,10,34.5982142857143
10003854,"Leeds College of Art","2014-2015",125,35,160,NA,NA,NA,3.57142857142857,0.28,78.125,21.875,NA,NA,NA,NA
10003861,"Leeds Beckett University","2014-2015",910,500,1410,26025,440,2070,1.82,0.549450549450549,64.5390070921986,35.4609929078014,28.5989010989011,8,2,19.0972222222222
10007795,"The University of Leeds","2014-2015",2115,1180,3290,31030,1175,6195,1.79237288135593,0.557919621749409,64.2857142857143,35.8662613981763,14.6713947990544,20,4,25.3989361702128
10003863,"Leeds Trinity University","2014-2015",130,20,145,3505,20,40,6.5,0.153846153846154,89.6551724137931,13.7931034482759,26.9615384615385,1,1,2.4390243902439
10007796,"The University of Leicester","2014-2015",1300,400,1700,17995,755,6055,3.25,0.307692307692308,76.4705882352941,23.5294117647059,13.8423076923077,34,4,25.9818731117825
10007151,"The University of Lincoln","2014-2015",685,260,945,13265,230,1700,2.63461538461538,0.37956204379562,72.4867724867725,27.5132275132275,19.3649635036496,13,2,9.6085409252669
10003956,"Liverpool Hope University","2014-2015",230,40,265,5550,85,220,5.75,0.173913043478261,86.7924528301887,15.0943396226415,24.1304347826087,4,2,11.9402985074627
10003957,"Liverpool John Moores University","2014-2015",970,340,1310,20635,300,1275,2.85294117647059,0.350515463917526,74.0458015267176,25.9541984732824,21.2731958762887,6,1,25.7396449704142
10003945,"The Liverpool Institute for Performing Arts","2014-2015",50,10,60,715,20,160,5,0.2,83.3333333333333,16.6666666666667,14.3,22,3,5
10006842,"The University of Liverpool","2014-2015",1685,1035,2720,22715,635,6865,1.6280193236715,0.614243323442137,61.9485294117647,38.0514705882353,13.4807121661721,30,3,36.8167202572347
10003958,"Liverpool School of Tropical Medicine","2014-2015",85,165,255,NA,NA,NA,0.515151515151515,1.94117647058824,33.3333333333333,64.7058823529412,NA,NA,NA,54
10007162,"University of the Arts, London","2014-2015",930,950,1885,17775,2140,8140,0.978947368421053,1.02150537634409,49.3368700265252,50.3978779840849,19.1129032258065,46,12,62.125340599455
10007769,"London Business School","2014-2015",100,5,105,1790,320,1240,20,0.05,95.2380952380952,4.76190476190476,17.9,69,18,4.54545454545455
10007797,"University of London (Institutes and activities)","2014-2015",35,45,80,235,45,110,0.777777777777778,1.28571428571429,43.75,56.25,6.71428571428571,47,19,26.6666666666667
10004048,"London Metropolitan University","2014-2015",580,60,640,14100,1320,1940,9.66666666666667,0.103448275862069,90.625,9.375,24.3103448275862,14,9,4.25531914893617
10004078,"London South Bank University","2014-2015",725,310,1035,17735,625,1860,2.33870967741935,0.427586206896552,70.048309178744,29.951690821256,24.4620689655172,10,4,45.6066945606695
10004063,"London School of Economics and Political Science","2014-2015",875,770,1645,10600,1905,7055,1.13636363636364,0.88,53.1914893617021,46.8085106382979,12.1142857142857,67,18,59.0163934426229
10007771,"London School of Hygiene and Tropical Medicine","2014-2015",195,605,800,1245,135,605,0.322314049586777,3.1025641025641,24.375,75.625,6.38461538461539,49,11,72.0183486238532
10004113,"Loughborough University","2014-2015",880,550,1430,15590,750,2945,1.6,0.625,61.5384615384615,38.4615384615385,17.7159090909091,19,5,28.3018867924528
10004180,"The Manchester Metropolitan University","2014-2015",1395,1040,2435,31355,915,2150,1.34134615384615,0.745519713261649,57.2895277207392,42.7104722792608,22.4767025089606,7,3,29.0948275862069
10007798,"The University of Manchester","2014-2015",2555,2390,4945,38590,2210,12215,1.06903765690377,0.935420743639922,51.6683518705763,48.3316481294237,15.1037181996086,32,6,42.9924242424242
10004351,"Middlesex University","2014-2015",825,155,980,17480,1590,4310,5.32258064516129,0.187878787878788,84.1836734693878,15.8163265306122,21.1878787878788,25,9,9.62566844919786
10007799,"University of Newcastle-upon-Tyne","2014-2015",1525,1275,2800,NA,NA,NA,1.19607843137255,0.836065573770492,54.4642857142857,45.5357142857143,NA,NA,NA,NA
10007832,"Newman University","2014-2015",145,10,155,2725,10,15,14.5,0.0689655172413793,93.5483870967742,6.45161290322581,18.7931034482759,1,0,10.7142857142857
10007138,"The University of Northampton","2014-2015",495,240,730,13285,280,1505,2.0625,0.484848484848485,67.8082191780822,32.8767123287671,26.8383838383838,11,2,31.3953488372093
10001282,"University of Northumbria at Newcastle","2014-2015",1230,150,1380,27075,495,3320,8.2,0.121951219512195,89.1304347826087,10.8695652173913,22.0121951219512,12,2,13.3720930232558
10004775,"Norwich University of the Arts","2014-2015",150,5,155,1875,50,95,30,0.0333333333333333,96.7741935483871,3.2258064516129,12.5,5,3,10.4166666666667
10007154,"University of Nottingham","2014-2015",2400,1000,3400,31910,1540,7245,2.4,0.416666666666667,70.5882352941177,29.4117647058824,13.2958333333333,23,5,29.8022598870057
10004797,"The Nottingham Trent University","2014-2015",1505,105,1610,26890,720,3450,14.3333333333333,0.0697674418604651,93.4782608695652,6.52173913043478,17.8671096345515,13,3,8.04597701149425
10007773,"The Open University","2014-2015",870,5175,6050,132360,230,315,0.168115942028985,5.94827586206897,14.3801652892562,85.5371900826446,152.137931034483,0,0,80.5172413793103
10004930,"Oxford Brookes University","2014-2015",690,460,1150,17460,930,3260,1.5,0.666666666666667,60,40,25.304347826087,19,5,11.4649681528662
10007774,"The University of Oxford","2014-2015",2315,4555,6870,26005,2400,7345,0.508232711306257,1.96760259179266,33.6972343522562,66.3027656477438,11.2332613390929,28,9,66.2347012239021
10005127,"Plymouth College of Art","2014-2015",110,20,130,NA,NA,NA,5.5,0.181818181818182,84.6153846153846,15.3846153846154,NA,NA,NA,NA
10007801,"University of Plymouth","2014-2015",945,370,1315,25895,805,2500,2.55405405405405,0.391534391534392,71.8631178707224,28.1368821292776,27.4021164021164,10,3,34.8623853211009
10007155,"The University of Portsmouth","2014-2015",1075,480,1555,21625,1015,3895,2.23958333333333,0.446511627906977,69.1318327974276,30.8681672025724,20.1162790697674,18,5,33.8935574229692
10005337,"Queen Margaret University, Edinburgh","2014-2015",185,60,250,5270,730,1100,3.08333333333333,0.324324324324324,74,24,28.4864864864865,21,14,28.3333333333333
10007775,"Queen Mary University of London","2014-2015",1180,1025,2205,15960,1635,5270,1.15121951219512,0.86864406779661,53.5147392290249,46.4852607709751,13.5254237288136,33,10,57.8787878787879
10005389,"Ravensbourne University London","2014-2015",75,110,185,2055,85,165,0.681818181818182,1.46666666666667,40.5405405405405,59.4594594594595,27.4,8,4,60
10007802,"The University of Reading","2014-2015",890,750,1640,14325,850,3850,1.18666666666667,0.842696629213483,54.2682926829268,45.7317073170732,16.0955056179775,27,6,39.0532544378698
10005500,"The Robert Gordon University","2014-2015",565,180,745,NA,NA,NA,3.13888888888889,0.31858407079646,75.8389261744966,24.1610738255034,NA,NA,NA,NA
10007776,"Roehampton University","2014-2015",455,30,485,7650,300,900,15.1666666666667,0.0659340659340659,93.8144329896907,6.18556701030928,16.8131868131868,12,4,6
10005523,"Rose Bruford College","2014-2015",50,25,75,NA,NA,NA,2,0.5,66.6666666666667,33.3333333333333,NA,NA,NA,NA
10007835,"Royal Academy of Music","2014-2015",220,60,280,775,165,365,3.66666666666667,0.272727272727273,78.5714285714286,21.4285714285714,3.52272727272727,47,21,10
10005545,"Royal Agricultural University","2014-2015",60,0,60,1185,45,160,Inf,0,100,0,19.75,14,4,15.3846153846154
10007777,"Royal College of Art","2014-2015",100,75,175,1445,350,825,1.33333333333333,0.75,57.1428571428571,42.8571428571429,14.45,57,24,13.1578947368421
10007778,"Royal College of Music","2014-2015",260,25,285,810,165,385,10.4,0.0961538461538462,91.2280701754386,8.7719298245614,3.11538461538462,48,20,8.7719298245614
10005561,"Royal Conservatoire of Scotland","2014-2015",255,5,260,985,110,255,51,0.0196078431372549,98.0769230769231,1.92307692307692,3.86274509803922,26,11,10.4477611940298
10007816,"The Royal Central School of Speech and Drama","2014-2015",65,10,70,995,80,235,6.5,0.153846153846154,92.8571428571429,14.2857142857143,15.3076923076923,24,8,23.5294117647059
10005553,"Royal Holloway and Bedford New College","2014-2015",675,495,1170,9915,900,3140,1.36363636363636,0.733333333333333,57.6923076923077,42.3076923076923,14.6888888888889,32,9,39.9141630901288
10007837,"Royal Northern College of Music","2014-2015",320,5,325,805,65,205,64,0.015625,98.4615384615385,1.53846153846154,2.515625,25,8,3.2258064516129
10007779,"The Royal Veterinary College","2014-2015",175,100,275,2145,65,295,1.75,0.571428571428571,63.6363636363636,36.3636363636364,12.2571428571429,14,3,28.3333333333333
10007803,"The University of St Andrews","2014-2015",730,430,1160,NA,NA,NA,1.69767441860465,0.589041095890411,62.9310344827586,37.0689655172414,NA,NA,NA,NA
10007782,"St George's Hospital Medical School","2014-2015",245,225,470,NA,NA,NA,1.08888888888889,0.918367346938776,52.1276595744681,47.8723404255319,NA,NA,NA,NA
10008026,"St Mary's University College","2014-2015",50,10,60,1155,20,20,5,0.2,83.3333333333333,16.6666666666667,23.1,2,2,41.6666666666667
10007843,"St Mary's University, Twickenham","2014-2015",190,190,380,5335,170,355,1,1,50,50,28.0789473684211,7,3,36.6666666666667
10007156,"The University of Salford","2014-2015",1215,120,1335,18920,1030,3150,10.125,0.0987654320987654,91.0112359550562,8.98876404494382,15.5720164609053,17,5,11.7370892018779
10007780,"The School of Oriental and African Studies","2014-2015",440,355,795,NA,NA,NA,1.23943661971831,0.806818181818182,55.3459119496855,44.6540880503145,NA,NA,NA,NA
10005700,"SRUC","2014-2015",285,60,345,1615,105,130,4.75,0.210526315789474,82.6086956521739,17.3913043478261,5.66666666666667,8,7,10.2272727272727
10005790,"Sheffield Hallam University","2014-2015",2050,110,2160,31530,390,3415,18.6363636363636,0.0536585365853659,94.9074074074074,5.09259259259259,15.380487804878,11,1,9.06921241050119
10007157,"The University of Sheffield","2014-2015",1905,1185,3090,27195,1295,8450,1.60759493670886,0.622047244094488,61.6504854368932,38.3495145631068,14.2755905511811,31,5,34.0720221606648
10006022,"Solent University","2014-2015",650,90,740,11305,895,1550,7.22222222222222,0.138461538461538,87.8378378378378,12.1621621621622,17.3923076923077,14,8,12.1739130434783
10007158,"The University of Southampton","2014-2015",1760,1235,2995,23795,1550,6895,1.4251012145749,0.701704545454545,58.7646076794658,41.2353923205342,13.5198863636364,29,7,35.9615384615385
10006299,"Staffordshire University","2014-2015",600,380,980,17735,490,1365,1.57894736842105,0.633333333333333,61.2244897959184,38.7755102040816,29.5583333333333,8,3,35.9605911330049
10007804,"The University of Stirling","2014-2015",705,235,940,11100,800,2205,3,0.333333333333333,75,25,15.7446808510638,20,7,32.3232323232323
10037449,"University of St Mark and St John","2014-2015",95,10,105,2420,30,55,9.5,0.105263157894737,90.4761904761905,9.52380952380952,25.4736842105263,2,1,16.6666666666667
10008010,"Stranmillis University College","2014-2015",50,10,60,1555,30,30,5,0.2,83.3333333333333,16.6666666666667,31.1,2,2,42.8571428571429
10007805,"The University of Strathclyde","2014-2015",925,500,1430,21210,1635,3810,1.85,0.540540540540541,64.6853146853147,34.965034965035,22.9297297297297,18,8,31.0880829015544
10014001,"University Campus Suffolk","2014-2015",165,15,175,NA,NA,NA,11,0.0909090909090909,94.2857142857143,8.57142857142857,NA,NA,NA,NA
10007159,"The University of Sunderland","2014-2015",410,390,805,13695,665,4205,1.05128205128205,0.951219512195122,50.9316770186335,48.4472049689441,33.4024390243902,31,5,9.05172413793103
10007160,"The University of Surrey","2014-2015",980,440,1415,14300,1150,4070,2.22727272727273,0.448979591836735,69.2579505300353,31.095406360424,14.5918367346939,28,8,34.2507645259939
10007806,"The University of Sussex","2014-2015",1285,420,1705,13535,1045,4210,3.05952380952381,0.326848249027237,75.366568914956,24.633431085044,10.5330739299611,31,8,39.7674418604651
10007855,"Swansea University","2014-2015",795,565,1360,16020,460,2775,1.4070796460177,0.710691823899371,58.4558823529412,41.5441176470588,20.1509433962264,17,3,27.893175074184
10007161,"Teesside University","2014-2015",610,85,700,17920,225,1050,7.17647058823529,0.139344262295082,87.1428571428571,12.1428571428571,29.3770491803279,6,1,12.4260355029586
10008017,"Trinity Laban Conservatoire of Music and Dance","2014-2015",290,40,325,960,150,245,7.25,0.137931034482759,89.2307692307692,12.3076923076923,3.31034482758621,26,16,5.68181818181818
10007858,"University of Wales Trinity Saint David","2014-2015",625,70,700,10425,215,905,8.92857142857143,0.112,89.2857142857143,10,16.68,9,2,35.031847133758
10007114,"University of the Highlands and Islands","2014-2015",25,10,35,7850,125,240,2.5,0.4,71.4285714285714,28.5714285714286,314,3,2,21.0526315789474
10007807,"University of Ulster","2014-2015",1180,490,1670,NA,NA,NA,2.40816326530612,0.415254237288136,70.6586826347305,29.3413173652695,NA,NA,NA,NA
10007784,"University College London","2014-2015",6305,295,6600,29945,3745,12690,21.3728813559322,0.0467882632831086,95.530303030303,4.46969696969697,4.74940523394132,42,13,10.5894627021388
10007793,"University of South Wales","2014-2015",1070,825,1900,27710,1185,3490,1.2969696969697,0.771028037383178,56.3157894736842,43.421052631579,25.8971962616822,13,4,7.87172011661808
10008574,"The University of Wales (central functions)","2014-2015",45,5,50,5,0,0,9,0.111111111111111,90,10,0.111111111111111,0,0,NA
10007163,"The University of Warwick","2014-2015",1350,1250,2600,23685,1900,7425,1.08,0.925925925925926,51.9230769230769,48.0769230769231,17.5444444444444,31,8,43.5126582278481
10007164,"University of the West of England, Bristol","2014-2015",1165,415,1580,26670,720,3420,2.80722891566265,0.356223175965665,73.7341772151899,26.2658227848101,22.8927038626609,13,3,28.0973451327434
10007800,"The University of the West of Scotland","2014-2015",555,60,610,14730,530,935,9.25,0.108108108108108,90.983606557377,9.83606557377049,26.5405405405405,6,4,12.2137404580153
10006566,"The University of West London","2014-2015",310,565,875,10490,615,1895,0.548672566371681,1.82258064516129,35.4285714285714,64.5714285714286,33.8387096774194,18,6,66.5492957746479
10007165,"The University of Westminster","2014-2015",920,545,1470,20465,2100,6095,1.68807339449541,0.592391304347826,62.5850340136054,37.0748299319728,22.2445652173913,30,10,7.73333333333333
10003614,"The University of Winchester","2014-2015",365,280,645,7485,100,470,1.30357142857143,0.767123287671233,56.5891472868217,43.4108527131783,20.5068493150685,6,1,42.0689655172414
10007166,"The University of Wolverhampton","2014-2015",750,60,810,19065,430,1670,12.5,0.08,92.5925925925926,7.40740740740741,25.42,9,2,5.44554455445545
10007139,"University of Worcester","2014-2015",420,230,645,10065,375,510,1.82608695652174,0.547619047619048,65.1162790697674,35.6589147286822,23.9642857142857,5,4,34.2857142857143
10007657,"Writtle College","2014-2015",100,15,115,NA,NA,NA,6.66666666666667,0.15,86.9565217391304,13.0434782608696,NA,NA,NA,NA
10007713,"York St John University","2014-2015",300,20,315,6550,55,605,15,0.0666666666666667,95.2380952380952,6.34920634920635,21.8333333333333,9,1,10.7142857142857
10007167,"The University of York","2014-2015",1165,510,1675,16835,890,3685,2.2843137254902,0.437768240343348,69.5522388059701,30.4477611940298,14.450643776824,22,5,28.7581699346405
NA,"Total","2014-2015",128300,70035,198335,NA,127135,442225,1.83194117227101,0.545869056897896,64.6885320291426,35.3114679708574,NA,NA,NA,33.1188817167529
10007783,"The University of Aberdeen","2015-2016",1530,40,1565,14000,2505,4225,38.25,0.0261437908496732,97.7635782747604,2.55591054313099,9.15032679738562,30,18,9.87654320987654
